,ismr,A,bmb,ismr <200,A <200,bmb <200,ismr <400,A <400,bmb <400
Barber,1.5904681898085824,0.01979572468221076,0.028839774887558577,1.0680750906175263,19.99996038959316,13.430925335282918,1.5904681898085824,100.0,100.0
Baudouin,0.5970254457809503,32.37188547928645,17.70338485288147,0.42959552473812485,38.79871892917001,27.91799936724841,0.5590085842690339,96.60791323029518,90.45619945630816
Borchgrevink,0.9833234642934756,20.425949779890068,18.39814918032628,1.630421393772434,6.496478725749009,10.771631394211687,0.9046619323766352,68.31482049415752,62.849936732275836
Brahms,2.8218826523755887,0.2227951610644196,0.5758908488374743,2.8933491141663605,82.13735178707908,84.21754669105383,2.8218826523755887,100.0,100.0
Britten,2.237501784433496,0.020011302356546766,0.04101419745415623,2.237501784433496,100.0,100.0,2.237501784433496,100.0,100.0
Brunt Stancomb,1.0119432866601954,36.00417960139504,33.37371606083531,0.6849580448118903,56.96149017431134,38.55574858165878,0.9606919741628259,97.94746699607762,92.98677769113667
Campbell,1.882490999069923,0.06878314642620435,0.11860702709609502,0.0,0.0,0.0,1.247973648419593,35.295964296683294,23.399014050841373
CapeWashington,0.12271877869465664,0.01617982682632406,0.001818780826257658,0.12271877869465664,100.0,100.0,0.12271877869465664,100.0,100.0
Cheetham,0.20750993033816917,0.08538377870682089,0.016229671485859236,0.20750993033816917,100.0,100.0,0.20750993033816917,100.0,100.0
Chugunov,0.8933529074242922,0.01982325436909767,0.01622159232352415,0.0,0.0,0.0,0.8933529074242922,100.0,100.0
Cirque Fjord,0.6229380458107201,0.06591585950410388,0.03761233098399714,0.7237882753715025,17.6489047530813,20.50616496991103,0.6114168576454004,94.11849705856957,92.3777831597457
ClarkeBay,0.2690447503876304,0.012118444973635697,0.0029865300667645334,0.2690447503876304,100.0,100.0,0.2690447503876304,100.0,100.0
Commandant Charcot,1.0456014011133428,0.015424317869000123,0.014772962551540394,0.0,0.0,0.0,1.0456014011133428,100.0,100.0
Conger Glenzer,3.5193581912081626,1.5295572567382594,4.93088283214809,3.5193581912081626,100.0,100.0,3.5193581912081626,100.0,100.0
Cook,3.489451549134556,3.3300939285867526,10.644104498769495,3.049498803264442,7.396796194408981,6.464202418410293,2.6967982691050527,67.07749177476438,51.84037123511798
Cosgrove,2.9497220981398744,2.9278141849682218,7.910794191793708,9.651570034353883,0.2746313483930795,0.8986011578230902,3.0133620907072816,95.60266289882516,97.66528186897914
Crosson,0.5076279750795072,2.8393617463315537,1.320266939688587,1.2823245381956978,15.68738623916746,39.62807666675033,0.6358896135791419,75.31427468521508,94.34382535571193
Dalk,0.5177541199408846,0.0314413222699533,0.014911448713758182,0.5177541199408846,100.0,100.0,0.5177541199408846,100.0,100.0
Dawson Lambton,0.6526679729961598,0.024432488241298844,0.014606813159342138,0.6526679729961598,100.0,100.0,0.6526679729961598,100.0,100.0
Deakin,3.000786028280355,0.05865661463900721,0.16123060990226135,0.0,0.0,0.0,3.000786028280355,100.0,100.0
Dennistoun,1.8747705873744875,0.08747731665772203,0.15022390870442492,1.6360851652664803,49.99954507640333,43.63387953730245,1.7739476326267438,95.45464898329804,90.32121035367739
Dibble,2.560469329518616,1.4091223432954423,3.3049413200574005,2.8423886771343785,1.3648394291106694,1.5151144732282613,1.8500372897884647,19.662514545556796,14.2069208566256
Dotson,0.7164382211425657,5.0863335821698135,3.337944105912654,-0.57910149480596,1.2713722317949734,-1.027658126213717,0.7409353024975961,64.83181731433318,67.04860343248691
Drury,1.742366766006377,0.054999499749804504,0.08777963926810846,1.177505125748464,21.431192513862662,14.483367984466605,1.742366766006377,100.0,100.0
Drygalski,0.8412433114591835,2.236993038566324,1.7237795752308025,0.4815142515803274,21.41542869265725,12.257849754942212,0.5632985408816876,70.78697252501787,47.39912673731773
Edward VIII,0.8292805855916481,0.3939447809375312,0.29924873490201087,0.8686917948550454,38.24996994195714,40.0677835938053,0.8648078509338814,92.16080536722548,96.10907262841955
Ekstrom,0.7713446902248792,6.743608888095494,4.764708568447753,1.4515317685018463,15.057733530041556,28.335942228523837,1.040222356142601,69.8890507549628,94.25118752512836
Eltanin Bay,3.239454796217329,0.008048973775779985,0.023884046619561426,3.239454796217329,100.0,100.0,3.239454796217329,100.0,100.0
Erebus,0.2466794366981162,0.004097392369637544,0.0009258400765727873,0.2466794366981162,100.0,100.0,0.2466794366981162,100.0,100.0
Falkner,0.030805701408619303,0.008059990036857543,0.00022743698013160196,0.030805701408619303,100.0,100.0,0.030805701408619303,100.0,100.0
Ferrigno,10.871675048519194,0.1126589196770636,1.1219087080983745,8.947206383260827,17.858034833858802,14.696863412943786,10.398940762331623,82.13991388339555,78.56821463890198
Filchner,0.06813397888487092,100.9451532551291,6.30006016542017,0.06811839320193218,0.12599932542785985,0.12597050301694585,0.7008949243177025,1.4151326221031513,14.557483480371634
Fimbul,1.4660165777897947,39.923782238291786,53.61249677421556,0.9258077190635328,24.644834987020868,15.563520093633226,1.3087624725968139,94.86911737094894,84.69286262142293
Fisher,0.8421215119120491,0.15161626454999888,0.11695425522690485,0.682696435095329,10.253082887114767,8.312034589731777,0.8287049959825389,97.43577542525138,95.88344762622752
Fitzgerald,0.30056228213076774,0.3101880774056456,0.08539944617427316,0.20416277562282334,62.334766493003656,42.34210245806962,0.30056228213076774,100.0,100.0
Flatnes,1.9990205758911754,0.06283706674966184,0.11506113185487862,2.0046404066304198,93.74908487265655,94.01264093370838,1.9990205758911754,100.0,100.0
Fox Glacier,6.715158299962638,0.01923861289002616,0.11833834322185625,6.715158299962638,100.0,100.0,6.715158299962638,100.0,100.0
Fox Ice Stream,4.327060230749265,0.024119176523755503,0.0955984586534772,0.0,0.0,0.0,4.327060230749265,100.0,100.0
Francais,1.5069897634571279,0.0656059880349303,0.0905626779893598,2.664877898536133,5.880238536881397,10.398290748244673,1.5069897634571279,100.0,100.0
Frost,2.2694743308866467,0.19743372453624863,0.410432825215907,1.7600413071793266,7.840519126655241,6.080543562372662,2.3031668480556147,72.54247556555032,73.61943800139194
Gannutz,0.39593460246282064,0.02770142611278712,0.010046645072227524,0.3300960944492007,71.42419819630297,59.54733111759077,0.39593460246282064,100.0,100.0
Garfield,0.49594173142783665,0.02836264434499246,0.012884656553003988,0.49594173142783665,100.0,100.0,0.49594173142783665,100.0,100.0
GeikieInlet,0.08660120323030378,0.27221957316968526,0.021594281002670353,0.07186796426661536,43.27642337814054,35.913917277292484,0.08660120323030378,100.0,100.0
George VI,6.969133755348661,22.785122252804697,145.45398918437877,6.086103664501122,32.967996073796144,28.790757755509773,6.631363699704383,95.706448582119,91.06788465180422
Getz,1.9918550241644783,32.54125304620231,59.37279186937997,2.0596503634355616,1.141493482305887,1.180345676351046,1.9629691967243372,44.18938890158458,43.548555584394784
Getz 1,0.7798431472481809,0.5074078655151939,0.3624598688521749,1.3444270639936853,21.422044302554,36.93098570918103,0.7798431472481809,100.0,100.0
Gillet,0.901891715874445,0.12209573926084902,0.10086729637716017,0.7436539088859958,38.7028675286974,31.91241056572634,0.901891715874445,100.0,100.0
Hamilton,1.3909753294334066,0.18014816522617624,0.22953279458063072,0.0,0.0,0.0,1.8352761616078848,43.18010331271495,56.97255198470823
Hannan,0.37376381285826066,0.3225001642005302,0.11041362417340882,0.3235949530566578,77.11419224048728,66.76345477973167,0.37376381285826066,100.0,100.0
HarbordGlacier,0.3471025032610489,0.06510580427132813,0.020700123077692124,0.3471025032610489,100.0,100.0,0.3471025032610489,100.0,100.0
Harmon Bay,0.49029354993144636,0.02825897313994579,0.012691356108512493,0.49029354993144636,100.0,100.0,0.49029354993144636,100.0,100.0
Hayes Coats Coast,1.2540800287899574,0.008148292187448497,0.009360247218938347,0.5392403594370876,49.9992557968598,21.49911971208122,1.2540800287899574,100.0,100.0
Helen,2.225723204924126,0.24686784819345828,0.5033049004188617,5.163634205525689,21.868499727096182,50.734490688033475,2.383809707969673,87.49453341201885,93.70901003341862
Holmes,1.6764532115562352,2.1394404301981336,3.285391350607244,2.6415891072038438,8.836546729489672,13.923756073245276,1.7755774602946959,56.282848537331546,59.610704656229586
Holt,1.6463196801765974,0.044482316168420834,0.06708061507556452,0.8112581318398028,36.35921914060884,17.916758543517062,1.4893384959933185,90.90807578197409,82.23973660100363
HornBluff,1.3074655534147204,0.12898578681939013,0.1544783374021455,1.4527533832915307,39.39046607127884,43.767602676052505,1.3074655534147204,100.0,100.0
Hoseason,1.6150548552574244,0.10843307668991124,0.1604148361523443,1.663276920588742,64.27152483331068,66.19053436996282,1.5065908716017054,82.13453269046553,76.61853514876667
