,Names,A,bmb,ismr,A_nf,bmb_nf,ismr_nf,bml,bmg,ismr_l,ismr_g,bml_nf,bmg_nf,ismr_nf_l,ismr_nf_g,lon_min,lat_min,lon_max,lat_max
13,Ferrigno,0.26153893780555326,0.6916180002770641,2.886918067932129,0.09656660677389739,0.25536237177868665,2.88691806793213,0.6916180002770641,0.0,2.886918067932129,0.0,0.25536237177868665,0.0,2.88691806793213,0.0,-83.9,-73.75,-82.5,-73.45
14,Venable,3.3464389138026003,6.411583616481958,2.0916399830191126,2.917362532088687,5.468673787521957,2.0464264638489977,6.452442284432539,-0.040858667950583245,2.1753697719483798,-0.4118726518411133,5.50331130465793,-0.03463751713597323,2.1296735049648308,-0.39274344893662516,-88.93,-73.33,-85.5,-72.75
15,Abbot,33.36749074884025,44.44636717412695,1.4541769194298357,30.54251001245387,40.2156124798204,1.437455764314639,48.548509374035284,-4.102142199908404,1.6833607119925615,-2.3788919758857023,43.45287168431502,-3.2372592044946185,1.6342513320027794,-2.332177866831078,-103.2,-73.3,-88.8,-70.9
16,Cosgrove,3.0927170780199473,4.144950837042984,1.4631327033161114,2.835364711850476,3.6628665027259064,1.4103168247979205,4.145744208189567,-0.0007933711465826664,1.467232908485044,-0.10756207445373774,3.663659873872489,-0.0007933711465826664,1.4146398233284263,-0.10756207445373774,-101.89,-73.9,-98.33,-73.3
17,Pine Island,6.177507105899364,29.673369095089043,5.24394503970614,5.409157758388544,26.603600662422885,5.369270681591187,29.69635569885574,-0.022986603766697096,5.2755802162802885,-0.7772368192672728,26.612222563230297,-0.008621900807410585,5.383062653373975,-0.777236819267273,-102.5,-75.5,-99.2,-74.2
18,Thwaites,4.3105884718770495,47.820084665877104,12.110952586929855,3.354913811536027,38.54669529352692,12.543256680863186,47.820084665877104,0.0,12.110952586929855,0.0,38.54669529352692,0.0,12.543256680863186,0.0,-108.3,-75.5,-104.0,-74.7
19,Crosson,2.944283086760759,17.608378114271954,6.528964656464528,2.4584942132535836,13.855458161309265,6.152565235291849,17.818336848572276,-0.2099587343003212,7.083566437293496,-1.1566943209400045,14.05869301552466,-0.20323485421539705,6.718042557903742,-1.2757696794846032,-111.5,-75.3,-108.3,-74.43
20,Dotson,5.745123142503125,23.810866097194737,4.5246019376511875,5.341677278303579,21.968323895327096,4.489766996224625,24.086453028827478,-0.27558693163273856,4.6455627030331845,-3.546681180395928,22.215925382758353,-0.2476014874312506,4.606566155493474,-3.521499280868428,-114.5,-75.3,-111.5,-73.93
21,Getz,35.857581971170795,133.74800509636782,4.072028786486345,32.132230126921435,116.58480668939526,3.9610070428615782,134.1662640440596,-0.41825894769205574,4.147856846196173,-0.837153014048036,117.00300375492998,-0.4181970655346994,4.041796491546635,-0.862518334549107,-135.0,-74.9,-114.5,-73.0
22,Land,0.6824166552578841,6.074366524542881,9.717530267883149,0.5200222892917448,4.89026200667135,10.266317600257924,6.314218152729002,-0.2398516281861221,10.949033059308869,-4.955427429546976,5.130113634857471,-0.2398516281861221,11.987966221205838,-4.955427429546976,-142.0,-75.9,-141.0,-75.2
23,Nickerson,7.090658255030518,13.92099437092541,2.1433259877127915,5.725358570672493,10.559606901812014,2.0134905073078198,14.028023288507981,-0.10702891758257191,2.2488047628751207,-0.4163703282311908,10.666635819394585,-0.10702891758257191,2.1387269232972814,-0.4163703282311908,-149.2,-76.4,-142.0,-75.0
24,Sulzberger,12.317985544549089,22.951545466414146,2.0341209406869796,11.521772056286833,21.92159508900853,2.077099967869517,23.29962485891031,-0.34807939249616376,2.101211778369575,-1.7885641272142532,22.26967448150469,-0.34807939249616376,2.1497216442884244,-1.7885641272142532,-151.55,-78.0,-145.0,-76.4
25,Swinburne,1.394861239403963,3.680866285305496,2.880869337900196,0.8591974247675731,2.713206941923781,3.4474222416869313,3.687558033883002,-0.0066917485775057975,2.946552858359723,-0.2553046432495329,2.713206941923781,0.0,3.4474222416869313,0.0,-154.0,-77.59,-151.55,-76.8
26,Withrow,0.9404062554459995,2.107924000295979,2.447056324043208,0.5398260559264705,1.270944817063065,2.5702618955482497,2.1686257799040916,-0.0607017796081132,3.3858748137397754,-0.2747680058105809,1.2886198612451043,-0.017675044182039103,2.96541015178887,-0.29492632902085025,-157.53,-77.5,-155.0,-76.9
27,Ross West,285.36674021926507,104.77517536213684,0.40082939983972415,282.5865386225386,101.80899635191409,0.39331382544157056,114.42901373329622,-9.65383837115908,0.5155815246982324,-0.24468415373410024,111.46283472307317,-9.65383837115908,0.5080464127797101,-0.24468415373410024,-180.0,-86.0,-146.7,-77.8
28,Ross East,208.2457091930747,89.68211246839076,0.47014767650473316,205.08690654633853,86.20877716019444,0.4589000201473128,98.78337593311224,-9.10126346472167,0.6185869837451061,-0.2930116598419067,95.31004062491571,-9.10126346472167,0.607850423674627,-0.2930116598419067,158.3,-84.5,180.0,-77.0
29,Drygalski,2.651206027076133,5.130131960333083,2.112465302780814,1.8838233659755415,3.6451457801903264,2.112415029176606,5.429255520760136,-0.2991235604270563,3.1059427184232753,-0.4395753996276465,3.914017157580588,-0.268871377390261,3.519692642921459,-0.4382235739130112,160.28,-75.55,166.32,-75.2
30,Nansen,2.1579253437936265,0.4953015077512247,0.2505750125180431,1.676245185119972,0.46588994132118283,0.3034242708483349,1.1601621682919152,-0.6648606605406903,1.0938177194538876,-0.7258259871778826,0.9437853177802819,-0.4778953764590995,1.0428878686158831,-0.7580014443364322,162.0,-75.02,165.75,-74.45
31,Aviator,0.6730757655646702,-0.6858966794826208,-1.112498087032427,0.5602036132560598,-0.5401403364344136,-1.0526045216704403,0.005850004208375235,-0.691746683690996,1.5836760997772217,-1.1287493907004096,0.005850004208375235,-0.5459903406427888,1.5836760997772217,-1.071719671031903,164.36,-73.9,166.57,-73.65
32,Mariner,3.2173833640712504,-0.23203532303218485,-0.07873282191400865,2.6700716675016354,-0.03367725513798215,-0.013769503951971265,1.5013334479723432,-1.7333687710045276,1.3146140590948296,-0.9602674701887828,1.3224597213330669,-1.3561369764710498,1.349718337402118,-0.925071048030309,166.48,-73.65,169.5,-73.03
33,Lillie,0.9598134841681658,0.3981372822857261,0.45284599065780645,0.722120072417375,0.29954040848404334,0.4528459906578061,0.3981372822857261,0.0,0.45284599065780645,0.0,0.29954040848404334,0.0,0.4528459906578061,0.0,163.6,-71.11,164.5,-70.43
34,Rennick,3.2503174246369904,4.001507976483008,1.3440098054725087,2.7994916578636255,3.6739381094571506,1.4327063462420428,4.017006471629747,-0.01549849514673965,1.3591633082531676,-0.7112251033594038,3.6894366046038902,-0.01549849514673965,1.4510812480597877,-0.7112251033594038,160.72,-71.7,162.25,-69.94
35,Cook,3.6899068569912683,3.1364560312440015,0.92795801342293,2.833570097526439,2.527486964636639,0.9737769493139429,4.161195800929629,-1.0247397696856217,1.8846052608312016,-0.8743801560378623,3.172808081320412,-0.6453211166837715,1.7701262639045643,-0.8035065376395356,150.89,-69.1,154.12,-68.19
36,Ninnis,1.6992875314782632,3.492810119642088,2.243947191802368,1.1876160880536335,2.7006034082475714,2.4825000482566044,3.900708462570074,-0.40789834292798616,2.9465959072113064,-1.7525490522384652,2.8888948492199416,-0.1882914409723714,2.946595907211303,-1.7525490522384644,146.84,-68.5,148.94,-68.1
37,Mertz,6.304688983659281,18.752854869261494,3.247194118055851,4.870286011567148,15.215329187166923,3.410604909838771,19.24019833064789,-0.4873434613863907,3.6433444501998764,-0.9861689480130863,15.641670267191882,-0.4263410800249619,3.8365905757986463,-1.1096548544382445,144.0,-67.8,146.6,-66.7
38,Dibble,1.890191264969751,21.42267996659748,12.372930526733391,1.3901086916187282,15.754941931662222,12.372930526733397,21.42267996659748,0.0,12.372930526733391,0.0,15.754941931662222,0.0,12.372930526733397,0.0,133.8,-66.6,135.73,-65.88
39,Holmes,2.3645518700225505,17.694557642264133,8.16949837773827,1.6962474724831786,13.16961452104027,8.475949802322164,17.694646510572188,-8.88683080557329e-05,8.182909339941949,-0.025111990049481392,13.169703389348326,-8.88683080557329e-05,8.495356183279458,-0.025111990049481392,126.0,-67.24,128.66,-66.36
40,Moscow University,5.492305114711946,30.110569694752343,5.985064611350873,4.623076396313966,26.15154958137879,6.175482334661141,30.76719489766269,-0.6566252029103556,7.042502012714956,-0.9916353604687311,26.48662380621611,-0.3350742248373169,6.939569403132593,-0.8016421910939779,119.0,-67.45,122.8,-66.4
41,Totten,7.734379083030309,55.40912866779233,7.820965909497587,6.660657097357231,48.776982723861934,7.994703879999388,56.558458626472905,-1.149329958680585,9.082818607525345,-1.3399841379431763,49.85589902055302,-1.0789162966910575,9.356752096483204,-1.3960625649995229,113.31,-67.55,119.0,-66.4
42,Vincennes [8],1.3350361256343148,11.602390864765516,9.48765754699706,0.8296867677176958,7.21055407381645,9.487657546997069,11.602390864765516,0.0,9.48765754699706,0.0,7.21055407381645,0.0,9.487657546997069,0.0,109.0,-67.24,111.0,-66.25
43,Conger/Glenzer,2.984914976213663,9.037122659272047,3.3052380084991384,2.0042880112379193,6.06817840588603,3.305238008499146,9.037122659272047,0.0,3.3052380084991384,0.0,6.06817840588603,0.0,3.305238008499146,0.0,102.6,-66.24,104.8,-65.28
44,Tracy/Tremenchus,2.3235911924069392,5.243308820202428,2.463486815280563,1.802658807495523,4.0706848154722834,2.4652358159593057,5.278343061226836,-0.035034241024407206,2.5999678585474184,-0.3565735740266554,4.099814831928835,-0.029130016456551052,2.6105155331630563,-0.36080849170684803,100.74,-66.26,102.36,-65.28
45,Shackleton,29.208572712379343,27.75949645140571,1.0375422116230792,27.00305126458098,25.868517208936098,1.0458351182004424,32.75341593160915,-4.993919480203391,1.7070872213111976,-0.6598446643269621,30.734977729259242,-4.866460520323138,1.7719413185775676,-0.6585709342119502,94.2,-66.7,100.74,-64.8
46,West,16.046336176214727,18.688338155279926,1.2714501096072839,13.852585427402008,15.853405321559425,1.2493848993345127,21.17855790306336,-2.4902197477833887,2.0528097372402407,-0.5683382509770334,18.250984645679107,-2.397579324119677,2.1106764753899623,-0.5931688189023693,80.8,-67.8,89.2,-66.2
47,Publications,1.8821416087263332,3.061410790590641,1.775717354431012,1.5083537117987775,2.4873041452731517,1.8002392391566968,3.061410790590641,0.0,1.775717354431012,0.0,2.4873041452731517,0.0,1.8002392391566968,0.0,74.3,-70.07,76.34,-69.35
48,Amery,60.5271546570494,28.650991872051062,0.5167659967397202,58.88904313335925,26.950772395653082,0.4996216450652618,47.92297367290292,-19.27198180085189,1.835824673918971,-0.6568827076665755,46.11122758859329,-19.160455192940244,1.8530882035749248,-0.6593658486613229,65.0,-73.7,74.3,-68.3
49,Wilma/Robert/Downer,0.9676866048957757,3.5470769905021062,4.001662081022232,0.785844472120839,2.882927560774054,4.004992008209229,3.5470769905021062,0.0,4.001662081022232,0.0,2.882927560774054,0.0,4.004992008209229,0.0,55.7,-67.3,57.48,-66.9
50,Edward VIII,0.5754971886672603,2.0714716777960547,3.929527384654103,0.42093239739045046,1.5235969227907167,3.9515024935249414,2.0714716777960547,0.0,3.929527384654103,0.0,1.5235969227907167,0.0,3.9515024935249414,0.0,55.76,-66.9,57.03,-66.58
51,Rayner/Thyer,2.619767330650785,13.800637397433345,5.7509679794311435,1.5305892036424216,8.0629704618265,5.750967979431154,13.800637397433345,0.0,5.7509679794311435,0.0,8.0629704618265,0.0,5.750967979431154,0.0,46.46,-67.9,49.5,-66.7
52,Shirase,0.8248210442380794,2.1111661683477014,2.794262556019721,0.5053223078654893,1.1954454684928144,2.582651610348305,2.1111661683477014,0.0,2.794262556019721,0.0,1.1954454684928144,0.0,2.582651610348305,0.0,38.06,-70.38,39.67,-69.77
53,Prince Harald,5.347105459060004,7.072733766275288,1.4440195974197814,4.112598751820493,5.013662314637846,1.3308933851308926,7.260507374816783,-0.18777360854149697,1.653693820274408,-0.37001915115824024,5.193372980601875,-0.17971066596403248,1.5810069627323713,-0.3726202662928371,33.8,-69.8,37.7,-68.7
54,Baudouin,33.494963932395365,18.83803114197978,0.6139889036067974,31.49728070398716,14.453535515076855,0.5009628942642325,19.78549308633653,-0.9474619443567448,0.7563967627121416,-0.20943811095147924,15.255585318892033,-0.8020498038151427,0.6254208090455861,-0.17987228766389815,23.99,-71.7,33.3,-68.3
55,Borchgrevink,14.087406353019624,5.460155416310821,0.423134550750019,12.88682683699021,4.309907141147033,0.3651122855840101,6.878597290044649,-1.4184418737338313,0.7536106137862805,-0.37559272695716284,5.715547630177936,-1.405640489030905,0.7071850746123132,-0.37763465009730174,18.62,-71.05,23.99,-69.63
56,Lazarev,15.521403839068627,6.34086549145224,0.4459868650638788,14.409663239791028,5.363357467174348,0.40633799999489817,7.087493122070469,-0.7466276306182297,0.6119884997705446,-0.28318709109635215,6.109985097792567,-0.7466276306182297,0.5784472936896962,-0.28318709109635215,12.9,-70.5,18.62,-69.1
57,Nivl,7.627770132949413,4.18507977373025,0.5989777224756181,7.015595549082411,3.5670461295832907,0.5550712175547042,4.5771984918847375,-0.3921187181544896,0.8202290070070314,-0.2787613720272257,3.951759352316449,-0.38471322273315844,0.782745152217426,-0.27924401135798305,9.3,-70.8,12.9,-69.2
58,Vigrid,2.511091740331306,3.270922181284216,1.422041133108474,2.096370160096386,2.003584118379868,1.0433839157621245,3.8758718034857282,-0.6049496222015108,3.186353909078709,-0.5581937056795848,2.594443106830592,-0.5908589884507233,2.9483639126448487,-0.5679617273333335,7.61,-70.7,9.34,-69.3
59,Fimbul,16.69956095094379,5.790620495769796,0.3785511555895897,15.66019596001108,4.68326027522246,0.3264792836027519,6.452591327976324,-0.6619708322065269,0.5406510375817346,-0.19690123114168198,5.3452311074289875,-0.6619708322065269,0.4866912899316064,-0.19690123114168198,1.25,-71.8,7.6,-69.3
60,Jelbart,35.50183503157799,20.743710176827054,0.6378817260747267,34.11103112673843,18.48520974495897,0.591608031683363,26.122828385084148,-5.379118208257056,1.1177911096319952,-0.5879051577483069,23.864327953216037,-5.379118208257056,1.0800259766944864,-0.5879051577483069,-6.2,-71.91,1.25,-69.51
61,Atka,2.037764375946783,1.5873237245490972,0.8503859340294782,1.7842264614056826,1.2987696925698367,0.7946697765595284,1.5960394296636813,-0.008715705114583978,0.8600765589970639,-0.7997846967796216,1.3074853976844205,-0.008715705114583978,0.8053726799997935,-0.7997846967796216,-7.73,-70.99,-6.2,-70.0
62,Ekstrom,6.758951687544508,6.110417919067513,0.986952153049469,6.3267676047561165,5.334424155682785,0.9204711664264498,6.142076795753492,-0.03165887668597859,1.0321629481442685,-0.13162978834951686,5.366083032368764,-0.03165887668597859,0.9660255261412538,-0.13162978834951686,-10.07,-71.83,-7.73,-70.0
63,Quar,2.3269055155567613,1.0630828016766691,0.49876143935771833,2.0089718611583485,0.8158927227149955,0.44336737442883256,1.1258408950376049,-0.06275809336093577,0.6119319464237162,-0.21519650675866497,0.8708055474765011,-0.054912824761505254,0.5532106482414791,-0.20634280600225163,-11.93,-71.6,-10.07,-70.53
64,Riiser-Larsen,51.7082196066381,19.112894999875607,0.4035259007908682,49.87843782073797,17.4552223735122,0.3820472423419661,24.73544656608323,-5.622551566207647,0.902795444169741,-0.2816062887991238,23.060386084426554,-5.605163710914399,0.8925600582899109,-0.282341583825544,-20.62,-76.0,-10.3,-71.6
65,Brunt/Stancomb,28.941378576428946,10.691831353029245,0.40330853417129053,26.464420133320584,7.509894353362384,0.30979611796791445,19.164833503027804,-8.47300214999859,1.1063747637613575,-0.9221699876188245,15.956131856276803,-8.446237502914414,1.0529588452984606,-0.9294045047739131,-27.66,-76.25,-20.62,-73.55
66,Filchner,84.6576263824054,11.310329085090657,0.14585243365408032,83.74674440366552,10.520116417100382,0.13713778764642892,37.60509901991771,-26.29476993482696,0.8580286298709947,-0.7798191524698299,35.89933426433298,-25.379217847232535,0.8312993127458626,-0.7569692176335457,-49.5,-83.5,-27.66,-78.0
67,Sorsdal,0.3834096207807806,0.7435955021017714,2.11727989764765,0.26602312875162404,0.5532301888932559,2.27034051943398,0.7435955021017714,0.0,2.11727989764765,0.0,0.5532301888932559,0.0,2.27034051943398,0.0,76.67,-68.9,78.94,-68.57
68,Vostok,15.51541013848276,55.69317485397422,3.918711054787172,15.51541013848276,55.69317485397422,3.918711054787172,55.69317485397422,0.0,3.918711054787172,0.0,55.69317485397422,0.0,3.918711054787172,0.0,101.06,-78.63,107.2,-76.0
69,George VI,23.499504188221145,70.72432898296141,3.27751541928944,22.611179139914206,67.74635182342949,3.2708997134961852,70.74063714542541,-0.016308162464002525,3.286316677294411,-0.26836628219145026,67.76265998589349,-0.016308162464002525,3.279910826072971,-0.26836628219145026,,,,
70,Ronne-Filchner,433.9532603039407,47.01324089307964,0.11824033647133511,431.3240372368187,43.77262047290174,0.11079072680292157,171.644095447806,-124.63085455472665,0.8641518428058744,-0.6313553953894128,167.29174887272347,-123.51912839982208,0.8520605473700942,-0.6260581464273275,,,,
71,Moscow Uni + Totten,13.226684197742255,85.51969836254467,7.068775868658293,11.283733493671196,74.92853230524072,7.249347727212168,87.32565352413559,-1.8059551615909406,8.246877250370279,-1.1972616062802126,76.34252282676913,-1.4139905215283743,8.366404330694909,-1.152521648189305,,,,
72,Brunt + Riiser-Larsen,80.64959818306704,29.80472635290485,0.4034505501726489,76.34285795405856,24.965116726874584,0.3570012306811195,43.900280069111034,-14.095553716206236,0.9733666644320242,-0.5036591081724804,39.01651794070336,-14.051401213828813,0.9481626516696836,-0.5066473728880412,,,,
73,Fimbul + Jelbart,52.20139598252178,26.53433067259685,0.5562850327655536,49.77122708674951,23.168470020181427,0.5081869791475666,32.57541971306047,-6.041089040463583,0.9361977040900973,-0.4648782912191571,29.209559060645024,-6.041089040463583,0.8933370399643688,-0.4648782912191571,,,,
74,Ross,493.61244941233974,194.4572878305276,0.42998060966913565,487.67344516887715,188.01777351210853,0.42089554004505614,213.21238966640846,-18.75510183588075,0.5588995916600155,-0.2650078740984869,206.77287534798887,-18.75510183588075,0.5500181380358752,-0.2650078740984869,,,,
